cellName,origCellName,destCellName,length,streamOrig,streamDest,boolean bi-directional
C141973259018594013632,C141973259018594013630,C141973259018594013634,1.5,W,E,true
C141973259018594013633,C141973259018594013631,C141973259018594013635,1.5,W,E,true
C141973259018594013634,C141973259018594013632,C141973259018594013636,1.5,W,E,true
C141973259018594013635,C141973259018594013633,C141973259018594013637,1.5,W,E,true
C141973259018594013636,C141973259018594013634,C141973259018594013638,1.5,W,E,true
C141973259018594013637,C141973259018594013635,C141973259018594013639,1.5,W,E,true
C141973259018594013638,C141973259018594013636,C1419732590185940136310,1.5,W,E,true
C141973259018594013639,C141973259018594013637,C1419732590185940136311,1.5,W,E,true
C1419732590185940136310,C141973259018594013638,C1419732590185940136312,1.5,W,E,true
C1419732590185940136311,C141973259018594013639,C1419732590185940136313,1.5,W,E,true
C1419732590185940136312,C1419732590185940136310,C1419732590185940136314,1.5,W,E,true
C1419732590185940136313,C1419732590185940136311,C1419732590185940136315,1.5,W,E,true
C141973259018594013633,C141973259018594013631,C141973259018594013632,1.0607,W,S,true
C141973259018594013635,C141973259018594013633,C141973259018594013634,1.0607,W,S,true
C141973259018594013637,C141973259018594013635,C141973259018594013636,1.0607,W,S,true
C141973259018594013639,C141973259018594013637,C141973259018594013638,1.0607,W,S,true
C1419732590185940136311,C141973259018594013639,C1419732590185940136310,1.0607,W,S,true
C1419732590185940136313,C1419732590185940136311,C1419732590185940136312,1.0607,W,S,true
C1419732590185940136315,C1419732590185940136313,C1419732590185940136314,1.0607,W,S,true
C141973259018594013632,C141973259018594013630,C141973259018594013633,1.0607,W,N,true
C141973259018594013634,C141973259018594013632,C141973259018594013635,1.0607,W,N,true
C141973259018594013636,C141973259018594013634,C141973259018594013637,1.0607,W,N,true
C141973259018594013638,C141973259018594013636,C141973259018594013639,1.0607,W,N,true
C1419732590185940136310,C141973259018594013638,C1419732590185940136311,1.0607,W,N,true
C1419732590185940136312,C1419732590185940136310,C1419732590185940136313,1.0607,W,N,true
C1419732590185940136314,C1419732590185940136312,C1419732590185940136315,1.0607,W,N,true
C141973259018594013630,C141973259018594013631,C141973259018594013632,1.0607,W,N,true
C141973259018594013632,C141973259018594013633,C141973259018594013634,1.0607,W,N,true
C141973259018594013634,C141973259018594013635,C141973259018594013636,1.0607,W,N,true
C141973259018594013636,C141973259018594013637,C141973259018594013638,1.0607,W,N,true
C141973259018594013638,C141973259018594013639,C1419732590185940136310,1.0607,W,N,true
C1419732590185940136310,C1419732590185940136311,C1419732590185940136312,1.0607,W,N,true
C1419732590185940136312,C1419732590185940136313,C1419732590185940136314,1.0607,W,N,true
C141973259018594013631,C141973259018594013630,C141973259018594013633,1.0607,W,S,true
